Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
20,10,12,0,28,5.4022
30,10,12,0,28,5.4173
40,10,12,0,28,5.4324
50,10,12,0,28,5.4475
60,10,12,0,28,5.4626
70,10,12,0,28,5.4777
80,10,12,0,28,5.4928
90,10,12,0,28,5.5079
100,10,12,0,28,5.523
110,10,12,0,28,5.5766
120,10,12,0,28,5.6302
130,10,12,0,28,5.6838
140,10,12,0,28,5.7374
150,10,12,0,28,5.791
160,10,12,0,28,5.8446
170,10,12,0,28,5.8982
180,10,12,0,28,5.9518
190,10,12,0,28,6.0054
200,10,12,0,28,6.059
210,10,12,0,28,6.0977
220,10,12,0,28,6.1364
230,10,12,0,28,6.1751
240,10,12,0,28,6.2138
250,10,12,0,28,6.2525
260,10,12,0,28,6.2912
270,10,12,0,28,6.3299
280,10,12,0,28,6.3686
290,10,12,0,28,6.4073
300,10,12,0,28,6.446
310,10,12,0,28,6.5347
320,10,12,0,28,6.6234
330,10,12,0,28,6.7121
340,10,12,0,28,6.8008
350,10,12,0,28,6.8895
360,10,12,0,28,6.9782
370,10,12,0,28,7.0669
380,10,12,0,28,7.1556
390,10,12,0,28,7.2443
400,10,12,0,28,7.333
410,10,12,0,28,7.4033
420,10,12,0,28,7.4736
430,10,12,0,28,7.5439
440,10,12,0,28,7.6142
450,10,12,0,28,7.6845
460,10,12,0,28,7.7548
470,10,12,0,28,7.8251
480,10,12,0,28,7.8954
490,10,12,0,28,7.9657
500,10,12,0,28,8.036
510,10,12,0,28,8.0943
520,10,12,0,28,8.1526
530,10,12,0,28,8.2109
540,10,12,0,28,8.2692
550,10,12,0,28,8.3275
560,10,12,0,28,8.3858
570,10,12,0,28,8.4441
580,10,12,0,28,8.5024
590,10,12,0,28,8.5607
600,10,12,0,28,8.619
0,0,9,2,0,10.321
10,0,9,2,0,10.3596492
20,0,9,2,0,10.3982984
30,0,9,2,0,10.4369476
40,0,9,2,0,10.4755968
50,0,9,2,0,10.514246
60,0,9,2,0,10.5528952
70,0,9,2,0,10.5915444
80,0,9,2,0,10.6301936
90,0,9,2,0,10.6688428
100,0,9,2,0,10.707492
110,0,9,2,0,10.7461412
120,0,9,2,0,10.7847904
130,0,9,2,0,10.8234396
140,0,9,2,0,10.8620888
150,0,9,2,0,10.900738
160,0,9,2,0,10.939387199999999
170,0,9,2,0,10.9780364
180,0,9,2,0,11.016685599999999
190,0,9,2,0,11.055334799999999
200,0,9,2,0,11.093983999999999
210,0,9,2,0,11.132633199999999
220,0,9,2,0,11.171282399999999
230,0,9,2,0,11.209931599999999
240,0,9,2,0,11.2485808
250,0,9,2,0,11.28723
260,0,9,2,0,11.3258792
270,0,9,2,0,11.3645284
280,0,9,2,0,11.4031776
290,0,9,2,0,11.4418268
300,0,9,2,0,11.480476
310,0,9,2,0,11.5191252
320,0,9,2,0,11.5577744
330,0,9,2,0,11.5964236
340,0,9,2,0,11.6350728
350,0,9,2,0,11.673722
360,0,9,2,0,11.7123712
370,0,9,2,0,11.7510204
380,0,9,2,0,11.7896696
390,0,9,2,0,11.8283188
400,0,9,2,0,11.866968
410,0,9,2,0,11.9056172
420,0,9,2,0,11.9442664
430,0,9,2,0,11.9829156
440,0,9,2,0,12.0215648
450,0,9,2,0,12.060214
460,0,9,2,0,12.0988632
470,0,9,2,0,12.137512399999999
480,0,9,2,0,12.1761616
490,0,9,2,0,12.214810799999999
500,0,9,2,0,12.25346
510,0,9,2,0,12.292109199999999
520,0,9,2,0,12.3307584
530,0,9,2,0,12.369407599999999
540,0,9,2,0,12.4080568
550,0,9,2,0,12.446705999999999
560,0,9,2,0,12.4853552
570,0,9,2,0,12.524004399999999
580,0,9,2,0,12.562653599999999
590,0,9,2,0,12.6013028
600,0,9,2,0,12.639952
0,0,9,0,0,27.43031
10,0,9,0,0,27.5675629
20,0,9,0,0,27.7048158
30,0,9,0,0,27.8420687
40,0,9,0,0,27.9793216
50,0,9,0,0,28.1165745
60,0,9,0,0,28.2538274
70,0,9,0,0,28.3910803
80,0,9,0,0,28.5283332
90,0,9,0,0,28.6655861
100,0,9,0,0,28.802839
110,0,9,0,0,28.9400919
120,0,9,0,0,29.0773448
130,0,9,0,0,29.2145977
140,0,9,0,0,29.3518506
150,0,9,0,0,29.4891035
160,0,9,0,0,29.6263564
170,0,9,0,0,29.7636093
180,0,9,0,0,29.9008622
190,0,9,0,0,30.0381151
200,0,9,0,0,30.175368
210,0,9,0,0,30.3126209
220,0,9,0,0,30.4498738
230,0,9,0,0,30.5871267
240,0,9,0,0,30.7243796
250,0,9,0,0,30.8616325
260,0,9,0,0,30.9988854
270,0,9,0,0,31.1361383
280,0,9,0,0,31.2733912
290,0,9,0,0,31.4106441
300,0,9,0,0,31.547897
310,0,9,0,0,31.6851499
320,0,9,0,0,31.8224028
330,0,9,0,0,31.9596557
340,0,9,0,0,32.0969086
350,0,9,0,0,32.2341615
360,0,9,0,0,32.3714144
370,0,9,0,0,32.5086673
380,0,9,0,0,32.6459202
390,0,9,0,0,32.7831731
400,0,9,0,0,32.920426
410,0,9,0,0,33.0576789
420,0,9,0,0,33.1949318
430,0,9,0,0,33.3321847
440,0,9,0,0,33.4694376
450,0,9,0,0,33.6066905
460,0,9,0,0,33.7439434
470,0,9,0,0,33.8811963
480,0,9,0,0,34.0184492
490,0,9,0,0,34.1557021
500,0,9,0,0,34.292955
510,0,9,0,0,34.4302079
520,0,9,0,0,34.5674608
530,0,9,0,0,34.7047137
540,0,9,0,0,34.8419666
550,0,9,0,0,34.9792195
560,0,9,0,0,35.1164724
570,0,9,0,0,35.2537253
580,0,9,0,0,35.3909782
590,0,9,0,0,35.5282311
600,0,9,0,0,35.665484
